activation,init,lr,lr_reg,opt,reg,units1,loss
linear,random_normal,0.001,0.00001,Adamgrad,l1,64,91.1091
relu,random_normal,0.01,0.01,SGD,l2,128,56.4969
linear,random_uniform,0.01,0.00001,SGD,l1,64,40.3117
linear,random_uniform,0.001,0.0001,Adam,l1l2,64,91.1091
linear,random_normal,0.01,0.001,SGD,l2,32,41.3721
relu,random_normal,0.0001,0.001,Adam,l1l2,32,91.1091
linear,random_normal,0.0001,0.0001,SGD,l2,64,91.1091
relu,random_normal,0.01,0.0001,Adam,l1l2,64,67.183
linear,random_normal,0.01,0.001,Adam,l1,128,59.8645
relu,random_uniform,0.0001,0.001,Adam,l1,128,91.1091
relu,random_normal,0.001,0.00001,Adam,l2,64,91.1091
relu,random_uniform,0.0001,0.01,RMSprop,l1l2,64,91.1091
relu,random_normal,0.0001,0.0001,RMSprop,l1,32,56.9694
linear,random_normal,0.01,0.00001,Adamgrad,l1,128,57.979
linear,random_normal,0.0001,0.01,SGD,l1l2,128,91.1091
relu,random_uniform,0.0001,0.0001,Adam,l2,128,91.1091
relu,random_normal,0.01,0.01,Adamgrad,l1,64,91.1091
relu,random_uniform,0.01,0.0001,Adamgrad,l1,128,58.7286
relu,random_uniform,0.01,0.0001,RMSprop,l2,64,37.7073
linear,random_uniform,0.0001,0.001,Adamgrad,l1l2,32,91.1091
linear,random_uniform,0.01,0.00001,RMSprop,l2,64,35.9983
linear,random_uniform,0.01,0.00001,RMSprop,l2,64,38.4469
linear,random_uniform,0.01,0.00001,RMSprop,l2,64,36.3208
linear,random_uniform,0.01,0.00001,RMSprop,l2,64,36.659
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,34.7448
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.213
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.482
linear,random_uniform,0.001,0.00001,RMSprop,l2,32,36.5283
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.1016
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.3641
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,36.0548
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.899
linear,random_uniform,0.001,0.01,RMSprop,l2,64,44.4268
linear,random_uniform,0.001,0.00001,SGD,l2,32,91.0122
linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.0498
linear,random_uniform,0.001,0.00001,SGD,l1l2,64,72.8565
linear,random_uniform,0.001,0.01,Adamgrad,l2,32,91.1091
linear,random_uniform,0.001,0.001,RMSprop,l2,64,38.8181
linear,random_uniform,0.001,0.00001,SGD,l1l2,64,84.4028
linear,random_uniform,0.001,0.001,RMSprop,l2,128,37.2389
linear,random_uniform,0.001,0.00001,Adam,l1,64,91.1091
linear,random_normal,0.001,0.01,RMSprop,l2,32,45.7434
linear,random_uniform,0.001,0.001,Adamgrad,l1l2,64,91.1091
relu,random_normal,0.001,0.00001,Adam,l1,128,91.1091
linear,random_uniform,0.0001,0.0001,SGD,l2,64,91.1091
linear,random_normal,0.001,0.00001,RMSprop,l2,32,36.3856
relu,random_uniform,0.001,0.01,Adam,l1l2,128,91.1091
linear,random_normal,0.0001,0.0001,RMSprop,l1,64,47.0794
relu,random_uniform,0.001,0.001,Adamgrad,l2,64,91.1091
linear,random_uniform,0.0001,0.00001,SGD,l1,128,91.1091
relu,random_normal,0.001,0.0001,RMSprop,l1l2,64,46.5278
linear,random_uniform,0.001,0.00001,Adam,l2,32,91.1091
linear,random_uniform,0.0001,0.01,Adamgrad,l2,64,91.1091
relu,random_normal,0.01,0.00001,RMSprop,l1,64,36.4824
linear,random_uniform,0.001,0.001,RMSprop,l2,128,38.695
linear,random_uniform,0.001,0.0001,SGD,l1l2,64,90.4616
linear,random_uniform,0.01,0.00001,RMSprop,l2,32,35.502
relu,random_normal,0.0001,0.00001,Adam,l2,64,91.1091
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.8207
linear,random_uniform,0.01,0.01,Adamgrad,l1,128,91.1091
relu,random_uniform,0.001,0.001,RMSprop,l1,64,54.2746
linear,random_normal,0.0001,0.00001,RMSprop,l1,64,44.8348
linear,random_uniform,0.001,0.0001,RMSprop,l1,32,38.5384
linear,random_uniform,0.01,0.00001,Adam,l1,64,64.983
linear,random_uniform,0.001,0.00001,SGD,l1,128,58.5172
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.9208
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.8014
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3655
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.0374
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.8852
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.6943
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.0065
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3903
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3104
linear,random_uniform,0.001,0.01,Adamgrad,l1,64,91.1091
linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3752
linear,random_uniform,0.001,0.001,RMSprop,l1l2,64,59.4016
linear,random_uniform,0.01,0.00001,RMSprop,l1,32,34.1974
relu,random_uniform,0.01,0.0001,SGD,l1,32,39.3076
linear,random_normal,0.01,0.00001,RMSprop,l1l2,32,56.1933
